Sem a pandemia qual seria o seu ano provável de formatura?,Você atualmente possui acesso à internet?,Atualmente você consegue (você pode escolher várias opções):,Na questão anterior você selecionou todas as opções?,Qual equipamento te falta para realizar todas as atividades remotamente?,As condições do seu local de estudo são:,Atualmente o que falta em seu local de estudo para ele ser ótimo?,"Atualmente, quanto os livros da biblioteca física são importantes para seus estudos?",Quantas disciplinas a distância você conseguiria cursar em um semestre? Note que ela pode demandar mais tempo que uma disciplina presencial.,Quais seus motivos para não fazer aulas a distância? Seja sincero.,"Desconsiderando suas atuais limitações de acesso, quais disciplinas você estaria disposto a cursar a distância no próximo semestre? (você tem que ter o pré-requisito)","Para que uma disciplina possa ser oferecida a distância, quantos dos alunos interessados e que tenham o pré-requisito devem ter condições de cursá-la?",Quais tipos de disciplinas deveriam ser oferecidas a distância durante o isolamento social (você pode escolher várias opções ou nenhuma)?,"Faça aqui outros comentários, dúvidas para aprimorarmos nosso levantamento de dados"
Ou após 2021,Sim,"Escrever e rodar códigos de computador, Escrever e compartilhar textos, Baixar e ver vídeos, Baixar e ler textos",Sim,,"Aceitáveis, alguma dificuldade de concentração","Um ambiente próprio para isso, atualmente estudo na mesa de jantar ou quarto onde existem muitas distrações ","Razoável, é possível fazer disciplinas sem a biblioteca, se material extra for disponibilizado",Algumas do semestre presencial,,"ATUÁRIA GERAL, CONTROLE ESTATÍSTICO DE QUALIDADE, INTRODUÇÃO À TEORIA DAS FILAS, MÉTODOS EM BIOMETRIA, PROBABILIDADE 2, PROCESSOS ESTOCÁSTICOS, PROGRAMAÇÃO ESTATÍSTICA","Muitos, 50% ou mais tem condições","Optativas, Obrigatórias de recuperação, Obrigatórias gerais",
Ou após 2021,Sim,"Escrever e rodar códigos de computador, Escrever e compartilhar textos, Baixar e ver vídeos, Baixar e ler textos",Sim,,"Aceitáveis, alguma dificuldade de concentração",Concentração da minha parte ,"Razoável, é possível fazer disciplinas sem a biblioteca, se material extra for disponibilizado",Algumas do semestre presencial,,INTRODUÇÃO À INFERÊNCIA ESTATÍSTICA,"Muitos, 50% ou mais tem condições","Optativas, Disciplinas de final de curso, Obrigatórias de recuperação",
Ou após 2021,Sim,"Escrever e rodar códigos de computador, Escrever e compartilhar textos, Baixar e ver vídeos, Baixar e ler textos",Sim,,Ótimas,,"Razoável, é possível fazer disciplinas sem a biblioteca, se material extra for disponibilizado",Algumas do semestre presencial,,FUNDAMENTOS DE PROBABILIDADE,Todos,,
Ou após 2021,Sim,"Escrever e rodar códigos de computador, Escrever e compartilhar textos, Baixar e ver vídeos, Baixar e ler textos",Sim,,"Aceitáveis, alguma dificuldade de concentração",Um ambiente com menos barulho ,"Razoável, é possível fazer disciplinas sem a biblioteca, se material extra for disponibilizado",Algumas do semestre presencial,,"FUNDAMENTOS DE PROBABILIDADE, INTRODUÇÃO À ESTATÍSTICA, INTRODUÇÃO À INFERÊNCIA ESTATÍSTICA, INTRODUÇÃO À TEORIA DAS FILAS, PESQUISA DE MERCADO, PLANEJAMENTO E ANÁLISE DE EXPERIMENTOS 1, PROBABILIDADE 1, PROGRAMAÇÃO ESTATÍSTICA",Todos,"Optativas, ACIEPEs",
Ou após 2021,Sim,"Escrever e rodar códigos de computador, Escrever e compartilhar textos, Baixar e ver vídeos, Baixar e ler textos",Sim,,"Ruins, muita dificuldade de concentração",Ambiente para estudo ,"Razoável, é possível fazer disciplinas sem a biblioteca, se material extra for disponibilizado",Algumas do semestre presencial,,"CONSTRUÇÃO DE INDICADORES, CONTROLE ESTATÍSTICO DE QUALIDADE, ESTUDOS POPULACIONAIS, INTRODUÇÃO À TEORIA DAS FILAS, MÉTODOS EM BIOMETRIA, PESQUISA DE MERCADO, PROBABILIDADE 2, PROGRAMAÇÃO ESTATÍSTICA",Todos,Optativas,
Ou após 2021,Sim,"Escrever e compartilhar textos, Baixar e ver vídeos, Baixar e ler textos",Não,Um computador próprio ,"Aceitáveis, alguma dificuldade de concentração",Silêncio ,"Muito, é impossível fazer qualquer disciplina sem a biblioteca",Algumas do semestre presencial,,,Todos,"Optativas, ACIEPEs",
Ou após 2021,Sim,"Escrever e rodar códigos de computador, Escrever e compartilhar textos, Baixar e ler textos",Não,Falta um lugar apropriado,"Ruins, muita dificuldade de concentração",Não há lugar em casa,"Muito, é impossível fazer qualquer disciplina sem a biblioteca",Algumas do semestre presencial,,"FUNDAMENTOS DE PROBABILIDADE, INTRODUÇÃO À ESTATÍSTICA","Alguns, basta haver alunos aptos e interessados","Optativas, Obrigatórias de recuperação, ACIEPEs",Tenho dificuldade quanto ao local de estudo
Ou após 2021,Sim,"Escrever e rodar códigos de computador, Escrever e compartilhar textos, Baixar e ver vídeos, Baixar e ler textos",Sim,,"Aceitáveis, alguma dificuldade de concentração",concentração,"Razoável, é possível fazer disciplinas sem a biblioteca, se material extra for disponibilizado",Algumas do semestre presencial,,INTRODUÇÃO À INFERÊNCIA ESTATÍSTICA,Todos,Optativas,"Acredito que as disciplinas só devem ser oferecidas caso todos os alunos, sem excessão, tenham acesso aos meios necessários."
Ou após 2021,Sim,"Escrever e rodar códigos de computador, Escrever e compartilhar textos, Baixar e ver vídeos, Baixar e ler textos",Sim,,Ótimas,,"Razoável, é possível fazer disciplinas sem a biblioteca, se material extra for disponibilizado",Algumas do semestre presencial,,"ANÁLISE DE RISCOS, ATUÁRIA GERAL",Todos,"Optativas, Obrigatórias de recuperação",
Ou após 2021,Sim,"Escrever e compartilhar textos, Baixar e ver vídeos, Baixar e ler textos",Não,Nenhum,Ótimas,,"Pouco, não dependo da biblioteca física para cursar disciplinas",Algumas do semestre presencial,,"FUNDAMENTOS DE PROBABILIDADE, INTRODUÇÃO À ESTATÍSTICA, PROBABILIDADE 1","Muitos, 50% ou mais tem condições",Optativas,"Eu entrei esse ano no curso de estatística então no caso, pelo meu ponto de vista optativas que podem criar uma base para o curso já seriam o bastante para quem está na minha situação ao menos eu creio, mas se fossem disponibilizadas aulas de algumas das matérias que teríamos no primeiro semestre para agilizar o curso acho que seria melhor."
Ou após 2021,Sim,"Escrever e rodar códigos de computador, Escrever e compartilhar textos, Baixar e ver vídeos, Baixar e ler textos",Sim,,"Aceitáveis, alguma dificuldade de concentração",,"Pouco, não dependo da biblioteca física para cursar disciplinas",Algumas do semestre presencial,,"PROBABILIDADE 1, PROGRAMAÇÃO ESTATÍSTICA","Quase todos, menos de 10% não tem condições","Optativas, ACIEPEs",
Ou após 2021,Sim,"Escrever e rodar códigos de computador, Escrever e compartilhar textos, Baixar e ver vídeos, Baixar e ler textos",Sim,,"Aceitáveis, alguma dificuldade de concentração",,"Razoável, é possível fazer disciplinas sem a biblioteca, se material extra for disponibilizado",Algumas do semestre presencial,,"ESTATÍSTICA BAYESIANA, PROBABILIDADE 2, PROCESSOS ESTOCÁSTICOS, PROGRAMAÇÃO ESTATÍSTICA",Todos,Obrigatórias gerais,
Ou após 2021,Sim,"Escrever e rodar códigos de computador, Escrever e compartilhar textos, Baixar e ver vídeos, Baixar e ler textos",Sim,,"Aceitáveis, alguma dificuldade de concentração",,"Razoável, é possível fazer disciplinas sem a biblioteca, se material extra for disponibilizado",Algumas do semestre presencial,,INTRODUÇÃO À INFERÊNCIA ESTATÍSTICA,Todos,"Optativas, Obrigatórias de recuperação, ACIEPEs",
2021,Sim,"Escrever e rodar códigos de computador, Escrever e compartilhar textos, Baixar e ver vídeos, Baixar e ler textos",Sim,,"Aceitáveis, alguma dificuldade de concentração","Silêncio, meus materiais de estudo (livros e cadernos) e uma local mais calmo para estudar ","Razoável, é possível fazer disciplinas sem a biblioteca, se material extra for disponibilizado",Algumas do semestre presencial,,"CONSTRUÇÃO DE INDICADORES, CONTROLE ESTATÍSTICO DE QUALIDADE, MÉTODOS EM BIOMETRIA","Quase todos, menos de 10% não tem condições","Optativas, Obrigatórias de ênfase, ACIEPEs",
Ou após 2021,Sim,"Escrever e rodar códigos de computador, Escrever e compartilhar textos, Baixar e ver vídeos, Baixar e ler textos",Sim,,Ótimas,,"Razoável, é possível fazer disciplinas sem a biblioteca, se material extra for disponibilizado",Algumas do semestre presencial,,"INTRODUÇÃO À INFERÊNCIA ESTATÍSTICA, PROBABILIDADE 1","Muitos, 50% ou mais tem condições","Optativas, Obrigatórias gerais",
Ou após 2021,Sim,"Escrever e rodar códigos de computador, Escrever e compartilhar textos, Baixar e ver vídeos, Baixar e ler textos",Sim,,Ótimas,,"Pouco, não dependo da biblioteca física para cursar disciplinas",Todas de um semestre presencial,,FUNDAMENTOS DE PROBABILIDADE,"Alguns, basta haver alunos aptos e interessados","Optativas, Disciplinas de final de curso, Obrigatórias de ênfase, Obrigatórias de recuperação, Obrigatórias gerais, ACIEPEs",
Ou após 2021,Sim,"Escrever e compartilhar textos, Baixar e ver vídeos, Baixar e ler textos",Não,,"Aceitáveis, alguma dificuldade de concentração",Internet estável ,"Pouco, não dependo da biblioteca física para cursar disciplinas",Todas de um semestre presencial,,"FUNDAMENTOS DE PROBABILIDADE, INTRODUÇÃO À INFERÊNCIA ESTATÍSTICA","Quase todos, menos de 10% não tem condições","Optativas, Disciplinas de final de curso, Obrigatórias de ênfase, Obrigatórias de recuperação, Obrigatórias gerais, ACIEPEs",
Ou após 2021,Sim,"Escrever e rodar códigos de computador, Escrever e compartilhar textos, Baixar e ver vídeos, Baixar e ler textos",Sim,,"Aceitáveis, alguma dificuldade de concentração","Ter silêncio em casa é um pouco difícil, porque minha família é grande e eu divido o quarto com minhas duas irmãs ","Pouco, não dependo da biblioteca física para cursar disciplinas",Algumas do semestre presencial,,PROBABILIDADE 1,Todos,"Optativas, Disciplinas de final de curso, Obrigatórias de recuperação, ACIEPEs",
2020,Sim,"Escrever e rodar códigos de computador, Escrever e compartilhar textos, Baixar e ver vídeos, Baixar e ler textos",Sim,,"Aceitáveis, alguma dificuldade de concentração",Mais silêncio para conseguir concentrar durante quaisquer atividade,"Razoável, é possível fazer disciplinas sem a biblioteca, se material extra for disponibilizado",Algumas do semestre presencial,,"MINERAÇÃO DE DADOS, TG1","Quase todos, menos de 10% não tem condições","Optativas, Disciplinas de final de curso, Obrigatórias de ênfase, ACIEPEs",
2020,Sim,"Escrever e rodar códigos de computador, Escrever e compartilhar textos, Baixar e ver vídeos, Baixar e ler textos",Sim,,"Aceitáveis, alguma dificuldade de concentração",Espaço privado,"Razoável, é possível fazer disciplinas sem a biblioteca, se material extra for disponibilizado",Todas de um semestre presencial,,"ANÁLISE DE RISCOS, INTRODUÇÃO À TEORIA DAS FILAS, TG1",Todos,"Optativas, Disciplinas de final de curso, Obrigatórias de ênfase, Obrigatórias de recuperação, Obrigatórias gerais, ACIEPEs",
Ou após 2021,Sim,"Escrever e rodar códigos de computador, Escrever e compartilhar textos, Baixar e ver vídeos, Baixar e ler textos",Sim,,Ótimas,,"Razoável, é possível fazer disciplinas sem a biblioteca, se material extra for disponibilizado",Algumas do semestre presencial,,"INTRODUÇÃO À INFERÊNCIA ESTATÍSTICA, PROBABILIDADE 2","Quase todos, menos de 10% não tem condições","Optativas, Disciplinas de final de curso, Obrigatórias de recuperação, Obrigatórias gerais, ACIEPEs",
Ou após 2021,Sim,"Escrever e rodar códigos de computador, Escrever e compartilhar textos, Baixar e ver vídeos, Baixar e ler textos",Sim,,Ótimas,,"Razoável, é possível fazer disciplinas sem a biblioteca, se material extra for disponibilizado",Algumas do semestre presencial,,"INTRODUÇÃO À INFERÊNCIA ESTATÍSTICA, PROBABILIDADE 2","Quase todos, menos de 10% não tem condições","Optativas, Disciplinas de final de curso, Obrigatórias de recuperação, Obrigatórias gerais, ACIEPEs",
Ou após 2021,Sim,"Escrever e rodar códigos de computador, Escrever e compartilhar textos, Baixar e ver vídeos, Baixar e ler textos",Sim,,"Aceitáveis, alguma dificuldade de concentração",Silêncio,"Razoável, é possível fazer disciplinas sem a biblioteca, se material extra for disponibilizado",Algumas do semestre presencial,,INFERÊNCIA ESTATÍSTICA (6 Créditos),"Alguns, basta haver alunos aptos e interessados","Optativas, Disciplinas de final de curso, Obrigatórias de recuperação, Obrigatórias gerais",
Ou após 2021,Sim,"Escrever e rodar códigos de computador, Escrever e compartilhar textos, Baixar e ver vídeos, Baixar e ler textos",Sim,,"Aceitáveis, alguma dificuldade de concentração",Vizinhos pararem e fazer muito barulho com som de música alto todos os dias ,"Razoável, é possível fazer disciplinas sem a biblioteca, se material extra for disponibilizado",Algumas do semestre presencial,,"INFERÊNCIA ESTATÍSTICA (6 Créditos), INTRODUÇÃO À ESTATÍSTICA, PROCESSOS ESTOCÁSTICOS",Todos,"Optativas, Obrigatórias de ênfase, Obrigatórias de recuperação",
Ou após 2021,Sim,"Escrever e rodar códigos de computador, Escrever e compartilhar textos, Baixar e ver vídeos, Baixar e ler textos",Sim,,"Aceitáveis, alguma dificuldade de concentração","Um ambiente silencioso, o que não é sempre possivel pois não moro sozinho","Razoável, é possível fazer disciplinas sem a biblioteca, se material extra for disponibilizado",Algumas do semestre presencial,,"INFERÊNCIA ESTATISTICA B, PROCESSOS ESTOCÁSTICOS",Todos,"Disciplinas de final de curso, Obrigatórias de recuperação",
2021,Sim,"Escrever e rodar códigos de computador, Escrever e compartilhar textos, Baixar e ver vídeos, Baixar e ler textos",Sim,,"Aceitáveis, alguma dificuldade de concentração",Menos barulho,"Razoável, é possível fazer disciplinas sem a biblioteca, se material extra for disponibilizado",Algumas do semestre presencial,,"CONTROLE ESTATÍSTICO DE QUALIDADE, INFERÊNCIA ESTATÍSTICA (6 Créditos), PROCESSOS ESTOCÁSTICOS, PROGRAMAÇÃO ESTATÍSTICA",Todos,"Optativas, Obrigatórias gerais, ACIEPEs",
2020,Sim,"Escrever e rodar códigos de computador, Escrever e compartilhar textos, Baixar e ver vídeos, Baixar e ler textos",Sim,,Ótimas,,"Razoável, é possível fazer disciplinas sem a biblioteca, se material extra for disponibilizado",Todas de um semestre presencial,,"LABORATÓRIO DE ESTATÍSTICA APLICADA, TG2","Alguns, basta haver alunos aptos e interessados","Disciplinas de final de curso, Obrigatórias de ênfase, Obrigatórias de recuperação, Obrigatórias gerais","Na questão sobre ""quantos alunos devem ter condições de cursar a matéria oferecida online"" minha opinião mudaria caso fosse ser contado o semestre no tempo total de graduação do aluno que não pudesse participar das aulas, por exemplo, caso o semestre não conte, creio que caso o professor tenha disponibilidade a matéria pode ser feita apenas com os alunos interessados, caso o semestre vá contar no tempo total do aluno que não possa cursar a matéria creio que ela só deve ser feita com 100% dos alunos disponiveis.

Sobre as matérias optativas pessoalmente gostaria de fazer elas de forma EAD pois me facilitaria para participar das aulas. Entretanto creio que ofertar disciplinas optativas conjutamente com disciplinas  obrigatorias pode gerar uma sobrecarga nos professores. Portanto vejo que o principal são as materias obrigatorias e caso seja possivel ofertar as optativas.
"
Ou após 2021,Sim,"Escrever e compartilhar textos, Baixar e ver vídeos, Baixar e ler textos",Não,Notebook adequando por que o meu é ruim e só dá pra ler e ver vídeos. Programação já fica extremamente difícil,"Aceitáveis, alguma dificuldade de concentração","Dependendo do horário, silêncio das outras pessoas","Razoável, é possível fazer disciplinas sem a biblioteca, se material extra for disponibilizado",Algumas do semestre presencial,,"FUNDAMENTOS DE PROBABILIDADE, INTRODUÇÃO À ESTATÍSTICA",Todos,"Optativas, Disciplinas de final de curso, ACIEPEs","Se a universidade pública é para todos e presa sempre a inclusão, não seria incoerente oferecer aulas onlines sabendo que não são todos que tem condições? Desfavorecendo ainda mais os ingressantes de escola pública que, provavelmente, terão mais dificuldades de acesso e de compreendimento das disciplinas - aumentando ainda mais as estáticas dos reprovados- seja pelo DEst ou DM. Não é apenas sobre ter internet, é sobre ter um espaço e computador tbm!! São inúmeros fatores e espero que vocês pensem em todos com igualdade e tomem a melhor decisão. Abraços!! "
2021,Sim,"Escrever e rodar códigos de computador, Escrever e compartilhar textos, Baixar e ver vídeos, Baixar e ler textos",Sim,,"Aceitáveis, alguma dificuldade de concentração",Menos barulho,"Razoável, é possível fazer disciplinas sem a biblioteca, se material extra for disponibilizado",Todas de um semestre presencial,,"CONSTRUÇÃO DE INDICADORES, ESTATÍSTICA BAYESIANA, ESTATÍSTICA NÃO-PARAMÉTRICA, ESTUDOS POPULACIONAIS, INFERÊNCIA ESTATISTICA B, PROCESSOS ESTOCÁSTICOS, PROGRAMAÇÃO ESTATÍSTICA","Quase todos, menos de 10% não tem condições","Optativas, Obrigatórias de ênfase, ACIEPEs",
Ou após 2021,Sim,"Escrever e rodar códigos de computador, Escrever e compartilhar textos, Baixar e ver vídeos, Baixar e ler textos",Sim,,"Aceitáveis, alguma dificuldade de concentração",Silêncio ,"Pouco, não dependo da biblioteca física para cursar disciplinas",Algumas do semestre presencial,,"INTRODUÇÃO À INFERÊNCIA ESTATÍSTICA, PROBABILIDADE 1, PROGRAMAÇÃO ESTATÍSTICA",Todos,"Optativas, Disciplinas de final de curso, ACIEPEs",
2020,Sim,"Escrever e rodar códigos de computador, Escrever e compartilhar textos, Baixar e ver vídeos, Baixar e ler textos",Sim,,"Aceitáveis, alguma dificuldade de concentração",Silêncio,"Razoável, é possível fazer disciplinas sem a biblioteca, se material extra for disponibilizado",Todas de um semestre presencial,,"CONTROLE ESTATÍSTICO DE QUALIDADE, ESTATÍSTICA NÃO-PARAMÉTRICA, MÉTODOS EM BIOMETRIA, MINERAÇÃO DE DADOS, TG1","Alguns, basta haver alunos aptos e interessados","Optativas, Disciplinas de final de curso, Obrigatórias de ênfase, Obrigatórias de recuperação",
Ou após 2021,Sim,"Escrever e rodar códigos de computador, Escrever e compartilhar textos, Baixar e ver vídeos, Baixar e ler textos",Sim,,"Aceitáveis, alguma dificuldade de concentração","Com a família em casa, acaba que eu me distraiu muito fácil ","Razoável, é possível fazer disciplinas sem a biblioteca, se material extra for disponibilizado",Todas de um semestre presencial,,"FUNDAMENTOS DE PROBABILIDADE, INTRODUÇÃO À ESTATÍSTICA, PROBABILIDADE 1, PROGRAMAÇÃO ESTATÍSTICA",Todos,Optativas,
Ou após 2021,Sim,"Escrever e rodar códigos de computador, Escrever e compartilhar textos, Baixar e ver vídeos, Baixar e ler textos",Sim,,"Aceitáveis, alguma dificuldade de concentração",,"Pouco, não dependo da biblioteca física para cursar disciplinas",Algumas do semestre presencial,,"ANÁLISE DE REGRESSÃO, ANÁLISE DE RISCOS, INTRODUÇÃO À ESTATÍSTICA, INTRODUÇÃO À INFERÊNCIA ESTATÍSTICA, PESQUISA DE MERCADO, PLANEJAMENTO E ANÁLISE DE EXPERIMENTOS 1, PROBABILIDADE 1, PROGRAMAÇÃO ESTATÍSTICA","Alguns, basta haver alunos aptos e interessados",Optativas,
2021,Sim,"Escrever e rodar códigos de computador, Escrever e compartilhar textos, Baixar e ver vídeos, Baixar e ler textos",Sim,,Ótimas,,"Pouco, não dependo da biblioteca física para cursar disciplinas",Algumas do semestre presencial,,"ANÁLISE DE REGRESSÃO, CONSTRUÇÃO DE INDICADORES, CONTROLE ESTATÍSTICO DE QUALIDADE, ESTATÍSTICA MULTIVARIADA 1, ESTATÍSTICA NÃO-PARAMÉTRICA, PLANEJAMENTO E ANÁLISE DE EXPERIMENTOS 1, SÉRIES FINANCEIRAS, TG1","Alguns, basta haver alunos aptos e interessados","Optativas, Disciplinas de final de curso, Obrigatórias de ênfase, Obrigatórias de recuperação, Obrigatórias gerais, ACIEPEs","Não é necessário que todos os alunos de uma disciplina estejam aptos a cursá-la a distância para que a mesma seja oferecida dessa forma. A opção de ensino a distância deveria ser ofertada de qualquer maneira, seja com 10% ou com 100% dos alunos aptos. Assim, quem estivesse apto cursaria normalmente e quem não estivesse ou simplesmente não quisesse, não cursaria e manteria sua vaga garantida no próximo semestre presencial nas disciplinas que está atualmente inscrito, ou seja, não haveria nenhum impacto negativo para essas pessoas. Dessa forma, os alunos que estão aptos e que desejam realizar o ensino a distância não seriam mais tão prejudicados. É muito frustrante saber que a administração do curso/universidade começou a discutir essa possibilidade em conjunto com os alunos apenas em maio e que tal discussão esteja sendo refreada por pessoas com um discurso que afirma que 100% dos alunos inscritos na disciplina precisariam estar aptos para cursá-las a distância, o que não é verdade, assim como foi dito anteriormente. Se tiverem algum comentário, dúvida, crítica ou qualquer outra coisa referente a minha opinião/proposta, fico a disposição por e-mail."
Ou após 2021,Sim,"Escrever e rodar códigos de computador, Escrever e compartilhar textos, Baixar e ver vídeos, Baixar e ler textos",Sim,,"Aceitáveis, alguma dificuldade de concentração",Silêncio e tranquilidade,"Razoável, é possível fazer disciplinas sem a biblioteca, se material extra for disponibilizado",Algumas do semestre presencial,,"CONTROLE ESTATÍSTICO DE QUALIDADE, PROBABILIDADE 1",Todos,"Optativas, Obrigatórias gerais, ACIEPEs","À respeito da pergunta ""quais tipos de disciplinas deveriam ser oferecidas à distância"", acredito que o mais importante é medir o nível de dificuldade de aprendizado e entendimento da disciplina é mais importante para saber se ela é interessante para o ensino à distância ou não. "
Ou após 2021,Sim,"Escrever e rodar códigos de computador, Escrever e compartilhar textos, Baixar e ver vídeos, Baixar e ler textos",Sim,,Ótimas,,"Pouco, não dependo da biblioteca física para cursar disciplinas",Algumas do semestre presencial,,"PROBABILIDADE 2, PROCESSOS ESTOCÁSTICOS","Quase todos, menos de 10% não tem condições","Optativas, Disciplinas de final de curso, Obrigatórias de ênfase, Obrigatórias de recuperação, Obrigatórias gerais, ACIEPEs",
Ou após 2021,Sim,"Escrever e rodar códigos de computador, Escrever e compartilhar textos, Baixar e ver vídeos, Baixar e ler textos",Sim,,Ótimas,,,Algumas do semestre presencial,,INTRODUÇÃO À INFERÊNCIA ESTATÍSTICA,Todos,Obrigatórias gerais,
2020,Sim,"Escrever e rodar códigos de computador, Escrever e compartilhar textos, Baixar e ver vídeos, Baixar e ler textos",Sim,,Ótimas,,"Pouco, não dependo da biblioteca física para cursar disciplinas",Todas de um semestre presencial,,"MINERAÇÃO DE DADOS, TG1","Alguns, basta haver alunos aptos e interessados",Disciplinas de final de curso,
Ou após 2021,Sim,"Escrever e compartilhar textos, Baixar e ver vídeos, Baixar e ler textos",Não,Um computador melhor,"Aceitáveis, alguma dificuldade de concentração",Um lugar mais silencioso,"Razoável, é possível fazer disciplinas sem a biblioteca, se material extra for disponibilizado",Algumas do semestre presencial,,"INFERÊNCIA ESTATISTICA A, PROBABILIDADE 2",Todos,"Optativas, Obrigatórias de recuperação, ACIEPEs",
Ou após 2021,Sim,"Escrever e rodar códigos de computador, Escrever e compartilhar textos, Baixar e ver vídeos, Baixar e ler textos",Sim,,Ótimas,,"Razoável, é possível fazer disciplinas sem a biblioteca, se material extra for disponibilizado",Algumas do semestre presencial,,"ESTATÍSTICA NÃO-PARAMÉTRICA, ESTUDOS POPULACIONAIS, INFERÊNCIA ESTATISTICA B, MÉTODOS EM BIOMETRIA, PROCESSOS ESTOCÁSTICOS","Alguns, basta haver alunos aptos e interessados","Optativas, Obrigatórias de ênfase, Obrigatórias de recuperação, Obrigatórias gerais",
Ou após 2021,Sim,"Escrever e rodar códigos de computador, Escrever e compartilhar textos, Baixar e ver vídeos, Baixar e ler textos",Sim,,"Aceitáveis, alguma dificuldade de concentração",Silêncio.,"Razoável, é possível fazer disciplinas sem a biblioteca, se material extra for disponibilizado",Algumas do semestre presencial,,"ATUÁRIA GERAL, CONTROLE ESTATÍSTICO DE QUALIDADE, PROBABILIDADE 2, PROCESSOS ESTOCÁSTICOS, PROGRAMAÇÃO ESTATÍSTICA",Todos,"Optativas, Disciplinas de final de curso, Obrigatórias de ênfase, Obrigatórias de recuperação, Obrigatórias gerais, ACIEPEs",
2021,Sim,"Escrever e rodar códigos de computador, Escrever e compartilhar textos, Baixar e ver vídeos, Baixar e ler textos",Sim,,"Aceitáveis, alguma dificuldade de concentração",Mais espaço para estudod,"Pouco, não dependo da biblioteca física para cursar disciplinas",Algumas do semestre presencial,,"ESTATÍSTICA MULTIVARIADA 1, INTRODUÇÃO À TEORIA DAS FILAS, PLANEJAMENTO E ANÁLISE DE EXPERIMENTOS 1, SÉRIES TEMPORAIS",Todos,"Optativas, Disciplinas de final de curso, Obrigatórias de ênfase, Obrigatórias de recuperação, ACIEPEs",
Ou após 2021,Sim,"Escrever e rodar códigos de computador, Escrever e compartilhar textos, Baixar e ver vídeos, Baixar e ler textos",Sim,,Ótimas,,"Razoável, é possível fazer disciplinas sem a biblioteca, se material extra for disponibilizado",Algumas do semestre presencial,,"FUNDAMENTOS DE PROBABILIDADE, INTRODUÇÃO À ESTATÍSTICA",Todos,"Optativas, Disciplinas de final de curso, Obrigatórias de recuperação, ACIEPEs",
2021,Sim,"Escrever e rodar códigos de computador, Escrever e compartilhar textos, Baixar e ver vídeos, Baixar e ler textos",Sim,,Ótimas,,"Pouco, não dependo da biblioteca física para cursar disciplinas",Todas de um semestre presencial,,"ANÁLISE DE REGRESSÃO, CONSTRUÇÃO DE INDICADORES, CONTROLE ESTATÍSTICO DE QUALIDADE, ESTATÍSTICA MULTIVARIADA 1, PLANEJAMENTO E ANÁLISE DE EXPERIMENTOS 1, SÉRIES TEMPORAIS","Alguns, basta haver alunos aptos e interessados","Optativas, Disciplinas de final de curso, Obrigatórias de ênfase, Obrigatórias de recuperação, Obrigatórias gerais, ACIEPEs",
Ou após 2021,Sim,"Escrever e rodar códigos de computador, Escrever e compartilhar textos, Baixar e ver vídeos, Baixar e ler textos",Sim,,Ótimas,,"Razoável, é possível fazer disciplinas sem a biblioteca, se material extra for disponibilizado",Todas de um semestre presencial,,FUNDAMENTOS DE PROBABILIDADE,Todos,Obrigatórias gerais,Eu aceito tranquilamente a possibilidade de ensino a distância.  
2021,Sim,"Escrever e rodar códigos de computador, Escrever e compartilhar textos, Baixar e ver vídeos, Baixar e ler textos",Sim,,"Aceitáveis, alguma dificuldade de concentração",,"Razoável, é possível fazer disciplinas sem a biblioteca, se material extra for disponibilizado",Todas de um semestre presencial,,"ANÁLISE DE REGRESSÃO, ESTATÍSTICA MULTIVARIADA 1, INFERÊNCIA ESTATISTICA B, PLANEJAMENTO E ANÁLISE DE EXPERIMENTOS 1, PROBABILIDADE 1",Todos,"Optativas, Disciplinas de final de curso, Obrigatórias gerais",
Ou após 2021,"Sim, mas restrito a emails e mensagens","Baixar e ver vídeos, Baixar e ler textos",Não,Um computador,"Ruins, muita dificuldade de concentração",Silencio,"Muito, é impossível fazer qualquer disciplina sem a biblioteca",Nenhuma,Nao possuo computador,"CONTROLE ESTATÍSTICO DE QUALIDADE, PROBABILIDADE 1",Todos,"Optativas, Disciplinas de final de curso, Obrigatórias de recuperação",
2021,Sim,"Escrever e rodar códigos de computador, Escrever e compartilhar textos, Baixar e ver vídeos, Baixar e ler textos",Sim,,"Ruins, muita dificuldade de concentração","Um notebook mais adequado (apesar de ter acesso a internet e ferramentas para realizar atividades, o notebook é muito lento e a maioria das coisas preciso realizar pelo celular, então a condição não é a melhor possível).
Ambiente mais tranquilo para assistir aulas (muito barulho e condições favoráveis para distração).","Pouco, não dependo da biblioteca física para cursar disciplinas",Algumas do semestre presencial,,"CONSTRUÇÃO DE INDICADORES, CONTROLE ESTATÍSTICO DE QUALIDADE, PESQUISA DE MERCADO, SÉRIES TEMPORAIS",Todos,"Optativas, Obrigatórias de ênfase, ACIEPEs","É de extrema importância que o método de avaliação seja planejado da melhor maneira possível para realização de EAD, uma vez que um curso majoritariamente de exatas exija cálculos algumas vezes bastante complexos para serem feitos a distância de forma virtual.
A minha maior preocupação além da qualidade da aula é essa!!
Então para que seja algo que os alunos sintam segurança, acredito que seja necessário deixar bem claro a forma que cada etapa da disciplina será feita, tanto em questão de como serão as aulas, mas também a forma da disponibilização de materiais, processos avaliativos, faltas, qualidade da ferramenta e flexibilidade em tirar dúvidas e coerência por parte dos docentes em saber que os alunos não estão na melhor condição de estudos."
